dataset,scaler,distance,shape,n_bags,compute_time_sec,cached,file
musk1,MinMaxScaler,hausdorff,"[92, 92]",92,1.9568,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_MinMaxScaler_hausdorff.npy
musk1,MinMaxScaler,hausdorff_min,"[92, 92]",92,0.6132,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_MinMaxScaler_hausdorff_min.npy
musk1,MinMaxScaler,hausdorff_avg,"[92, 92]",92,1.0887,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_MinMaxScaler_hausdorff_avg.npy
musk1,MinMaxScaler,cauchy_schwarz,"[92, 92]",92,1.5898,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_MinMaxScaler_cauchy_schwarz.npy
musk1,MinMaxScaler,earth_movers,"[92, 92]",92,1.1628,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_MinMaxScaler_earth_movers.npy
musk1,MinMaxScaler,mahalanobis,"[92, 92]",92,244.1175,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_MinMaxScaler_mahalanobis.npy
musk1,StandardScaler,hausdorff,"[92, 92]",92,0.9066,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_StandardScaler_hausdorff.npy
musk1,StandardScaler,hausdorff_min,"[92, 92]",92,0.5872,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_StandardScaler_hausdorff_min.npy
musk1,StandardScaler,hausdorff_avg,"[92, 92]",92,1.0521,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_StandardScaler_hausdorff_avg.npy
musk1,StandardScaler,cauchy_schwarz,"[92, 92]",92,1.5054,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_StandardScaler_cauchy_schwarz.npy
musk1,StandardScaler,earth_movers,"[92, 92]",92,1.1354,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_StandardScaler_earth_movers.npy
musk1,StandardScaler,mahalanobis,"[92, 92]",92,249.8646,False,/kaggle/working/MIClustering-experiments/resultados/distancias/musk1_StandardScaler_mahalanobis.npy
