dataset,cauchy_schwarz,earth_movers,hausdorff,hausdorff_avg,hausdorff_min,mahalanobis
BirdsChestnut-backedChickadee,54.8932,62.6385,42.8646,47.8598,31.0135,2223.5896
BirdsHammondsFlycatcher,54.023,63.5265,43.006,47.4139,31.0266,2234.2791
Harddrive1,28.5954,1442.0003,32.5955,33.8724,26.8956,571.8513
ImageElephant,7.364,6.2497,4.4624,5.0153,2.7633,1208.6542
Newsgroups1,2.0441,12.0841,2.3821,2.4087,1.9353,421.8609
Thioredoxin,6.6144,98.25,7.9414,8.1829,6.2819,34.0368
musk1,1.5898,1.1628,1.9568,1.0887,0.6132,244.1175
musk2,2.234,23.9818,2.1239,2.1172,1.519,582.5905
mutagenesis3_atoms,6.0583,4.7842,3.5782,4.0192,2.2321,29.2758
mutagenesis3_chains,6.2759,9.6761,6.6204,7.0504,5.2578,51.6963
