dataset,cauchy_schwarz,earth_movers,hausdorff,hausdorff_avg,hausdorff_min,mahalanobis
BirdsChestnut-backedChickadee,53.8407,62.3832,42.7816,47.2458,30.8046,2242.3636
BirdsHammondsFlycatcher,54.3417,63.9167,43.1822,47.5525,31.4002,2253.3389
Harddrive1,28.6857,1391.3994,32.3661,34.1993,26.9386,614.7867
ImageElephant,7.317,6.2573,4.3263,4.9214,2.8008,1212.3901
Newsgroups1,2.1227,13.0555,2.4042,2.4897,1.9831,422.436
Thioredoxin,6.7065,103.0526,7.7547,8.2157,6.2121,34.1407
musk1,1.5054,1.1354,0.9066,1.0521,0.5872,249.8646
musk2,2.2326,23.7405,1.9497,2.1578,1.5235,590.0132
mutagenesis3_atoms,6.0016,4.7562,3.5657,4.0596,2.2115,29.5394
mutagenesis3_chains,6.2959,9.5797,6.7454,7.0597,5.3165,51.0346
